Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,Industry_Group
"103","AUROPHARMA","Aurobindo Pharma","1497.80","54.10","3.75","67","42","82","B","60","Medical-Generic Drugs   ",
"104","OFSS","Oracle Finl.Svs.Sftw.","9638.50","239.00","2.54","63","73","82","A+","66","Computer Sftwr-Desktop  ",
"105","ABCAPITAL","Aditya Birla Capital","375.90","5.30","1.43","67","78","82","A","130","Insurance-Brokers       ",
"106","GESHIP","Great Eastern Shipping","1437.70","25.60","1.81","74","92","81","B-","31","Oil&Gas-Transprt/Pipelne",
"107","MINDACORP","Minda Corporation","652.95","2.05","0.31","79","89","81","A+","49","Auto/Truck-Original Eqp ",
"108","ATGL","Adani Total Gas","727.30","2.95","0.41","53","59","81","A-","59","Utility-Gas Distribution",
"109","KPIL","Kalpataru Projects Intl Ltd","1398.70","30.80","2.25","76","65","81","A+","91","Bldg-Heavy Construction ",
"110","TITAGARH","Titagarh Rail Systems Ltd","922.45","-10.15","-1.09","56","65","81","A+","95","Machinery-Constr/Mining ",
"111","ZEEL","Zee Entertainment Ents.","113.36","1.58","1.41","46","13","81","A-","108","Media-Radio/Tv          ",
"112","KARURVYSYA","Karur Vysya Bank","291.75","-5.00","-1.68","62","93","81","B-","121","Banks-Money Center      ",
"113","MOTILALOFS","Motilal Oswal Finl.Svs.","953.45","5.30","0.56","48","34","81","A+","134","Finance-Invest Bnk/Bkrs ",
"114","ENGINERSIN","Engineers India (Nse)","250.74","-2.41","-0.95","57","83","81","A+","144","Comml Svcs-Outsourcing  ",
"115","MMTC","M M T C (Nse)","74.55","-0.40","-0.53","58","72","80","A+","24","Mining-Metal Ores       ",
"116","USHAMART","Usha Martin (Nse)","476.05","-14.75","-3.01","79","82","80","B-","33","Steel-Producers         ",
"117","KIMS","Krishna Institute Of Medical Sciences","804.25","14.50","1.84","54","32","80","B+","56","Medical-Hospitals       ",
"118","VBL","Varun Beverages Ltd","529.50","-2.05","-0.39","63","89","80","B+","65","Beverages-Non-Alcoholic ",
"119","KPRMILL","Kpr Mill","1159.75","-26.65","-2.25","74","88","80","A-","71","Apparel-Clothing Mfg    ",
"120","AUBANK","Au Small Finance Bank","1033.05","7.70","0.75","73","85","80","B","121","Banks-Money Center      ",
"121","THELEELA","Leela Palaces Hotels & Resorts Limited","494.20","36.60","8.00","71","81","80","B","126","Leisure-Lodging         ",
"122","BOSCHLTD","Bosch","40195.00","160.00","0.40","67","76","79","A+","49","Auto/Truck-Original Eqp ",
"123","GMRAIRPORT","GMR Airports Limited","108.83","-1.72","-1.56","75","34","79","B+","91","Bldg-Heavy Construction ",
"124","CCL","Ccl Products (India)","1137.30","4.90","0.43","65","79","79","C-","102","Food-Packaged           ",
"125","NSLNISP","Nmdc Steel Limited","46.88","-0.23","-0.49","61","52","78","B","24","Mining-Metal Ores       ",
"126","GMDCLTD","Gujarat Mrl.Dev.Corp.","612.90","-6.15","-0.99","54","51","78","B+","39","Energy-Coal             ",
"127","JBMA","Jbm Auto","727.30","20.80","2.94","53","68","78","A+","49","Auto/Truck-Original Eqp ",
"128","TIINDIA","Tube Investments Of India Ltd","3285.60","29.10","0.89","66","58","78","B-","49","Auto/Truck-Original Eqp ",
"129","SAREGAMA","Saregama India","465.90","9.75","2.14","53","58","78","A","72","Leisure-Movies & Related",
"130","TATATECH","Tata Technologies Ltd","742.25","-11.45","-1.52","54","20","78","A+","81","Comml Svcs-Consulting   ",
"131","SUZLON","Suzlon Energy (Nse)","59.20","0.76","1.30","58","41","77","A+","21","Energy-Alternative/Other",
"132","NMDC","Nmdc","88.42","-0.11","-0.12","69","43","77","B","24","Mining-Metal Ores       ",
"133","SHYAMMETL","Shyam Metalics And Energy","970.30","-4.80","-0.49","70","50","77","A","33","Steel-Producers         ",
"134","TIMKEN","Timken India","3689.40","115.50","3.23","55","47","77","A","36","Machinery-Tools & Rel   ",
"135","AARTIIND","Aarti Industries (Nse)","484.50","-1.95","-0.40","68","61","77","B+","44","Chemicals-Specialty     ",
"136","SIEMENS","Siemens","3759.60","13.40","0.36","60","26","77","B+","57","Diversified Operations  ",
"137","TORNTPHARM","Torrent Pharmaceuticals","4429.80","-15.70","-0.35","65","61","77","D-","60","Medical-Generic Drugs   ",
"138","NESTLEIND","Nestle India","1414.80","14.40","1.03","68","80","77","B+","73","Food-Misc Preparation   ",
"139","ZYDUSWELL","Zydus Wellness","512.35","7.70","1.53","59","30","77","B","73","Food-Misc Preparation   ",
"140","TRAVELFOOD","Travel Food Services Ltd","1354.00","21.20","1.59","65","86","77","B+","104","Leisure-Services        ",
"141","CREDITACC","Creditaccess Grameen Ltd","1406.40","-13.20","-0.93","68","88","77","A-","111","Finance-Consumer Loans  ",
"142","MANAPPURAM","Manappuram Finance","318.65","-2.70","-0.84","70","45","77","B","111","Finance-Consumer Loans  ",
"143","INDUSINDBK","Indusind Bank (Nse)","947.45","8.70","0.93","65","31","77","B","121","Banks-Money Center      ",
"144","HBLENGINE","HBL Engineering Ltd","815.50","11.10","1.38","69","96","75","A","11","Electrical-Power/Equipmt",
"145","JSWSTEEL","Jsw Steel","1287.70","-6.20","-0.48","76","75","75","B-","33","Steel-Producers         ",
"146","APOLLOHOSP","Apollo Hosps.Enterprise","8489.50","78.00","0.93","69","83","75","B+","56","Medical-Hospitals       ",
"147","RAINBOW","Rainbow Children's Medicare","1470.80","20.80","1.43","62","80","75","A-","56","Medical-Hospitals       ",
"148","PREMIERENE","Premier Energies Ltd","1079.60","21.90","2.07","70","94","75","A+","58","Energy-Solar            ",
"149","GRASIM","Grasim Industries","3149.50","4.40","0.14","63","53","75","B-","62","Bldg-Constr Prds/Misc   ",
"150","JBCHEPHARM","J B Chemicals & Phar Ltd","2193.50","-5.00","-0.23","63","57","75","C+","67","Medical-Diversified     ",
"151","TITAN","Titan Company","4419.90","32.00","0.73","68","87","75","B+","77","Retail/Whlsle-Jewelry   ",
"152","PHOENIXLTD","Phoenix Mills","1881.10","27.40","1.48","72","87","75","B+","82","Real Estate Dvlpmt/Ops  ",
"153","LT","Larsen & Toubro","4209.40","19.40","0.46","66","74","75","B+","91","Bldg-Heavy Construction ",
"154","LTF","L&T Finance Ltd","286.50","-0.40","-0.14","66","84","75","B","111","Finance-Consumer Loans  ",
"155","HONAUT","Hnywell.Atmtn.Ida. (Nse)","37460.00","290.00","0.78","66","56","74","A-","5","Elec-Misc Products      ",
"156","LALPATHLAB","Dr Lal Pathlabs","1635.80","-27.10","-1.63","66","49","74","A","27","Medical-Services        ",
"157","NIVABUPA","Niva Bupa Health Insurance Company Ltd","86.87","-0.22","-0.25","69","37","74","A-","32","Insurance-Acc & Health  ",
"158","TENNIND","Tenneco Clean Air India Ltd","584.95","15.30","2.69","56","31","74","B+","49","Auto/Truck-Original Eqp ",
"159","ASIANPAINT","Asian Paints","2732.90","-22.10","-0.80","62","67","74","A-","94","Chemicals-Paints        ",
"160","BERGEPAINT","Berger Paints India","550.70","45.65","9.04","52","65","74","A-","94","Chemicals-Paints        ",
